module	title	code	type	semester	credits
Prüfungsfach Data Science - Foundations	Data-oriented Programming Paradigms	188.995	VU	2023W	3
Prüfungsfach Data Science - Foundations	Experiment Design for Data Science	188.992	VU	2023W	3
Prüfungsfach Data Science - Foundations	AKSTA Statistical Computing	105.731	VU	2024S	3
Prüfungsfach Data Science - Foundations	Advanced Methods for Regression and Classification	105.707	VU	2023W	4
Prüfungsfach Data Science - Foundations	Machine Learning	184.702	VU	2024S	4
Prüfungsfach Data Science - Foundations	Machine Learning	184.702	VU	2023W	4
Prüfungsfach Data Science - Foundations	Advanced Database Systems	184.780	VU	2024S	6
Prüfungsfach Data Science - Foundations	Data-intensive Computing	194.048	VU	2024S	3
Prüfungsfach Data Science - Foundations	Cognitive Foundations of Visualization	193.142	VO	2024S	3
Prüfungsfach Data Science - Foundations	Information Visualization	186.141	VO	2024S	3
Prüfungsfach Data Science - Foundations	Information Visualization	188.305	VO	2023W	3
Prüfungsfach Data Science - Foundations	Introduction to Semantic Systems	188.399	VU	2023W	3
Prüfungsfach Domain-Specific Aspects of Data Science	Interdisciplinary Lecture Series on Data Science	194.046	VU	2023W	1
Prüfungsfach Domain-Specific Aspects of Data Science	Interdisciplinary Lecture Series on Data Science	194.088	VU	2024S	1
Prüfungsfach Domain-Specific Aspects of Data Science	Interdisciplinary Project in Data Science canceled	194.047	PR	2023W	5
Prüfungsfach Domain-Specific Aspects of Data Science	Interdisciplinary Project in Data Science	194.147	PR	2024S	5
Prüfungsfach Domain-Specific Aspects of Data Science	Interdisciplinary Project in Data Science	194.147	PR	2023W	5
Prüfungsfach Domain-Specific Aspects of Data Science	Domain-Specific  Lectures in Data Science	194.068	VU	2024S	3
Prüfungsfach Domain-Specific Aspects of Data Science	Domain-Specific  Lectures in Data Science	194.068	VU	2023W	3
Modul FDS/CO - Fundamentals of Data Science - Core	Data Acquisition and Survey Methods	105.708	VU	2024S	3
Modul FDS/CO - Fundamentals of Data Science - Core	Data Stewardship	194.044	VO	2024S	3
Modul FDS/EX - Fundamentals of Data Science - Extension	Data Stewardship	194.045	UE	2024S	3
Modul FDS/EX - Fundamentals of Data Science - Extension	Digital Humanism	194.072	VU	2023W	3
Modul FDS/EX - Fundamentals of Data Science - Extension	Sustainability in Computer Science	194.155	VU	2023W	3
Modul FDS/EX - Fundamentals of Data Science - Extension	System and Application Security	192.112	VU	2024S	6
Modul FDS/EX - Fundamentals of Data Science - Extension	User Research Methods	193.055	VU	2023W	3
Modul FDS/EX - Fundamentals of Data Science - Extension	User Research Methods Project	193.056	PR	2023W	3
Modul MLS/CO - Machine Learning and Statistics - Core	Recommender Systems	194.035	VU	2024S	3
Modul MLS/CO - Machine Learning and Statistics - Core	Statistical Simulation and Computerintensive Methods	107.330	VU	2023W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	Advanced Modeling and Simulation	194.056	VU	2024S	3
Modul MLS/EX - Machine Learning and Statistics - Extension	AKNUM Advanced Reinfordement Learning	101.879	VU	2023W	3
Modul MLS/EX - Machine Learning and Statistics - Extension	AI/ML in the Era of Climate Change	194.125	VU	2023W	4
Modul MLS/EX - Machine Learning and Statistics - Extension	AKNUM Reinforcement Learning	101.789	VU	2024S	6
Modul MLS/EX - Machine Learning and Statistics - Extension	Reinforcement Learning	194.163	VU	2024S	6
Modul MLS/EX - Machine Learning and Statistics - Extension	Algorithmic Social Choice	192.118	VU	2024S	6
